Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2d68ad16-268a-478c-1f84-d0f1976e1a46,2019-09-10,,999-71-2318,,,,Mauro926,Isaias604,Braun514,,,,white,nonhispanic,M,Danvers  Massachusetts  US,686 Hilpert Annex,Quincy,Massachusetts,Norfolk County,25021,02186,42.25937201985332,-71.01258393031146,11394.17,0.00,103247
5e688e99-61b3-5c88-3f60-21df8aaced27,2009-08-17,,999-87-5260,S99921124,,,Wallace647,Raymond398,Effertz744,,,,native,nonhispanic,M,Southwick  Massachusetts  US,788 Hansen Skyway,Revere,Massachusetts,Suffolk County,25025,02151,42.42585246178816,-70.94822090106521,2941.72,48360.98,22038
982750f4-569b-5949-196b-60699bdda3fb,1986-06-01,,999-41-6411,S99976992,X85134600X,Mrs.,Dwana281,Zora492,Tremblay80,,Schuppe920,D,white,nonhispanic,F,Scituate  Massachusetts  US,864 Wisozk Skyway Suite 4,Lowell,Massachusetts,Middlesex County,25017,01851,42.66502947266086,-71.34409739443451,346469.31,464266.21,51919
6fbddf55-7096-b883-7cd3-260f27953080,1981-01-17,,999-94-1171,S99913042,X45473831X,Mrs.,Clarinda196,Serena400,O'Connell601,,Mayert710,M,white,nonhispanic,F,Southwick  Massachusetts  US,205 Doyle Parade,Burlington,Massachusetts,Middlesex County,25017,01730,42.50650523065799,-71.21144047274721,14876.49,893681.31,18417
46ee9d82-b52c-856d-069b-5064ff052225,1996-01-06,,999-44-2741,S99939437,X24298728X,Mrs.,Shalanda398,Kelsie51,Treutel973,,Terry864,M,white,nonhispanic,F,Marlborough  Massachusetts  US,925 Brown Annex,Lowell,Massachusetts,Middlesex County,25017,01854,42.62405815858057,-71.29962328132608,107143.67,137455.64,124612
76b20010-c318-5754-8c85-983aa538522f,2017-10-06,,999-62-9324,,,,Jody426,Jeffrey461,Hickle134,,,,white,nonhispanic,M,Charlton  Massachusetts  US,368 Marquardt Highlands,Newburyport,Massachusetts,Essex County,25009,01950,42.81308052119067,-70.83892862887681,14241.47,10614.42,878354
46976cf7-b0bf-be20-39a5-9f425a52886d,2007-04-03,,999-37-5783,S99911471,,Ms.,Lindsay928,Deja232,Zieme486,,,,white,nonhispanic,F,Toulouse  Occitanie  FR,794 Dicki Neck Unit 4,Worcester,Massachusetts,Worcester County,25027,01607,42.29589656519802,-71.86071035579968,46776.27,0.00,95959
62f60bdb-cc5c-8305-b98b-f2b229a55eca,1975-05-11,2025-08-05,999-12-9859,S99985443,X49270466X,Ms.,Angel97,Rocio28,Luettgen772,,,S,white,nonhispanic,F,Rehoboth  Massachusetts  US,120 Collins Path Suite 22,Fall River,Massachusetts,Bristol County,25005,02790,41.695915023588334,-71.14174870097861,423690.17,417419.69,74269
c053e996-a4c4-6c02-e2b6-284227156c67,2023-04-03,,999-10-8066,,,,Sharyn437,Anette189,Hagenes547,,,,black,hispanic,F,Windsor  Massachusetts  US,663 Blick Plaza,Milford,Massachusetts,Worcester County,25027,01757,42.17459827182851,-71.55903801727968,7653.29,710.83,51905
aee7bbe1-0c45-c028-1e62-1f4cdb30c273,2010-07-12,,999-21-5544,,,,Wilfredo622,Isaiah615,Fritsch593,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,265 Schamberger Rapid Unit 70,Whitman,Massachusetts,Plymouth County,,00000,42.095113614046355,-70.96780531615718,52600.02,10274.13,102779
4f083ce3-f12b-bb4b-7353-e17f0cd55b0a,1998-08-01,,999-78-6352,S99924521,X42024574X,Mr.,Ezekiel373,Leslie90,Walter473,,,,white,nonhispanic,M,Onset  Massachusetts  US,332 Schulist Underpass,Watertown,Massachusetts,Middlesex County,25017,02472,42.32131597857709,-71.14289090408015,112199.42,49455.20,141031
